75523E58
918,10
1420,10
1440,8
1533,10
15667,1
15667,2
15667,9
15847,1
15847,2
15847,3
15847,4
15847,5
15847,6
15847,7
15847,8
15847,9
15847,10
15847,11
15847,12
15847,13
15847,14
15847,15
15847,16
16247,1
16247,2
16247,3
16247,4
16247,5
16247,9
16247,10
16247,11
16247,13
16267,1
16267,9
16268,2
16268,3
16268,4
16268,5
16268,6
16268,7
16268,8
16268,10
16268,11
16268,12
16268,13
16268,14
16268,15
16268,16
16566,1
16566,2
16566,3
16566,4
16566,5
16566,9
16566,10
16566,11
16566,13
44431
